,日期,股票代码,股票名称,区间日均总市值 [起始交易日期]截止日3月前 [单位]元,月收盘价 [复权方式]前复权,当月成交均价 [复权方式]前复权,月换手率 [单位]%,月振幅 [单位]%,融资融券差额 [单位]元
129,2022-09-30,000032.SZ,深桑达A,16458684571.82,12.13,13.257361904762,7.4064,18.8448,0.0
130,2022-03-31,000034.SZ,神州数码,10434682627.24,14.2110247026,14.442826955398,41.3725,18.6232,494553966.0
131,2022-06-30,000034.SZ,神州数码,9806129126.31,15.22,15.296595238095,36.3605,11.1259,422634678.0
132,2022-09-30,000034.SZ,神州数码,11759072566.05,16.04,17.32579047619,47.3623,15.3584,409570078.0
133,2022-12-31,000034.SZ,神州数码,15213984953.86,21.94,22.027668181818,61.6744,15.8433,385163136.0
134,2023-03-31,000034.SZ,神州数码,17479034266.77,31.49,28.242626086957,182.5468,35.8994,635164850.0
135,2022-12-31,000035.SZ,中国天楹,13110402456.94,5.07,5.418159090909,25.0655,20.6831,700664514.0
136,2023-03-31,000035.SZ,中国天楹,13464138000.06,5.15,5.234791304348,14.9801,9.2937,701015142.0
137,2022-09-30,000035.SZ,中国天楹,14827574010.37,4.69,5.509461904762,46.3782,41.7832,465991699.0
138,2022-03-31,000035.SZ,中国天楹,14267896905.33,5.0505222632,5.369206714854,15.3097,20.5387,244981673.0
139,2022-06-30,000035.SZ,中国天楹,12197291556.21,5.25,5.342712029683,22.4924,15.2727,230914307.0
140,2022-03-31,000036.SZ,华联控股,6074320447.08,4.1652393024,3.840588113541,14.3327,24.359,289871564.0
141,2022-06-30,000036.SZ,华联控股,6112348575.76,4.2438287232,4.210432897302,24.2676,9.8131,286394369.0
142,2022-09-30,000036.SZ,华联控股,5906282257.99,4.38,4.007576190476,33.5865,22.7621,283778430.0
143,2022-12-31,000036.SZ,华联控股,6070506501.61,4.05,4.25405,24.5575,14.3488,287840101.0
144,2023-03-31,000036.SZ,华联控股,5910333161.61,3.83,3.927456521739,10.7143,6.2189,299161847.0
145,2023-03-31,000037.SZ,深南电A,4921607677.92,7.7,7.928769565217,20.9808,10.4496,0.0
146,2022-12-31,000037.SZ,深南电A,4812120600.43,8.02,8.462968181818,109.5177,25.4545,0.0
147,2022-09-30,000037.SZ,深南电A,4950964104.81,6.94,7.819123809524,115.6172,34.7036,0.0
148,2022-06-30,000037.SZ,深南电A,4160544115.5,8.17,7.902461904762,172.6035,68.8218,0.0
