,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
889,*ST深南,002417.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,价值型
890,康盛股份,002418.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
891,天虹股份,002419.SZ,可选消费,零售业,多元化零售,百货商店,价值型
892,毅昌科技,002420.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
893,达实智能,002421.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
894,科伦药业,002422.SZ,医药卫生,医药生物,制药,化学药,成长型
895,中粮资本,002423.SZ,金融地产,其他金融,其他金融服务,其它综合性金融服务,成长型
896,贵州百灵,002424.SZ,医药卫生,医药生物,制药,中药,成长型
897,凯撒文化,002425.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,价值型
898,胜利精密,002426.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
899,*ST尤夫,002427.SZ,原材料,原材料,化学制品,纤维及树脂,价值型
900,云南锗业,002428.SZ,原材料,原材料,有色金属,稀有金属,混合型
901,兆驰股份,002429.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
902,杭氧股份,002430.SZ,工业,资本品,机械制造,其他机械设备,混合型
903,棕榈股份,002431.SZ,工业,资本品,建筑与工程,园林工程,价值型
904,九安医疗,002432.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
905,ST太安,002433.SZ,医药卫生,医药生物,制药,中药,混合型
906,万里扬,002434.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
907,长江健康,002435.SZ,医药卫生,医药生物,制药,化学药,成长型
908,兴森科技,002436.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
909,誉衡药业,002437.SZ,医药卫生,医药生物,制药,化学药,混合型
910,江苏神通,002438.SZ,工业,资本品,机械制造,通用机械,混合型
911,启明星辰,002439.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
912,闰土股份,002440.SZ,原材料,原材料,化学制品,印染化学品,价值型
913,众业达,002441.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,成长型
914,龙星化工,002442.SZ,原材料,原材料,化学制品,橡胶制品,混合型
915,金洲管道,002443.SZ,原材料,原材料,钢铁,钢铁,成长型
916,巨星科技,002444.SZ,工业,资本品,机械制造,通用机械,混合型
917,中南文化,002445.SZ,可选消费,传媒,传媒,广播与有线电视,价值型
918,盛路通信,002446.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
919,晨鑫退,002447.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,混合型
920,中原内配,002448.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
921,国星光电,002449.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
922,摩恩电气,002451.SZ,工业,资本品,电气设备,电气部件与设备,成长型
923,长高电新,002452.SZ,工业,资本品,电气设备,电气部件与设备,混合型
924,华软科技,002453.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
925,松芝股份,002454.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
926,百川股份,002455.SZ,原材料,原材料,化学制品,其他化学制品,价值型
927,欧菲光,002456.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
928,青龙管业,002457.SZ,工业,资本品,建筑产品,建筑产品,成长型
929,益生股份,002458.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
930,晶澳科技,002459.SZ,工业,资本品,电气设备,新能源设备,成长型
931,赣锋锂业,002460.SZ,原材料,原材料,有色金属,稀有金属,成长型
932,珠江啤酒,002461.SZ,主要消费,食品、饮料与烟草,饮料,啤酒,成长型
933,嘉事堂,002462.SZ,医药卫生,医药生物,制药,药品经销商,混合型
934,沪电股份,002463.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
935,众应退,002464.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
936,海格通信,002465.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
937,天齐锂业,002466.SZ,原材料,原材料,有色金属,稀有金属,价值型
938,二六三,002467.SZ,电信业务,电信服务,电信增值服务,电信增值服务,成长型
939,申通快递,002468.SZ,工业,交通运输,航空货运与物流,物流,混合型
940,三维化学,002469.SZ,原材料,原材料,化学原料,化学原料,成长型
941,ST金正,002470.SZ,原材料,原材料,化学制品,化肥与农药,价值型
942,中超控股,002471.SZ,工业,资本品,电气设备,电气部件与设备,价值型
943,双环传动,002472.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
944,圣莱退,002473.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
945,榕基软件,002474.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
946,立讯精密,002475.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
947,宝莫股份,002476.SZ,原材料,原材料,化学制品,其他化学制品,价值型
948,常宝股份,002478.SZ,原材料,原材料,钢铁,钢铁,成长型
949,富春环保,002479.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
950,新筑股份,002480.SZ,工业,资本品,机械制造,通用机械,混合型
951,双塔食品,002481.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
952,ST广田,002482.SZ,工业,资本品,建筑与工程,建筑装修,价值型
953,润邦股份,002483.SZ,工业,资本品,机械制造,工程机械,成长型
954,江海股份,002484.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
955,*ST雪发,002485.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,成长型
956,嘉麟杰,002486.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
957,大金重工,002487.SZ,工业,资本品,电气设备,新能源设备,成长型
958,金固股份,002488.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
959,浙江永强,002489.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,成长型
960,山东墨龙,002490.SZ,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,混合型
961,通鼎互联,002491.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
962,恒基达鑫,002492.SZ,能源,能源,石油与天然气,石油与天然气的储存和运输,混合型
963,荣盛石化,002493.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
964,华斯股份,002494.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
965,佳隆股份,002495.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
966,辉丰股份,002496.SZ,原材料,原材料,化学制品,化肥与农药,价值型
967,雅化集团,002497.SZ,原材料,原材料,化学制品,其他化学制品,成长型
968,汉缆股份,002498.SZ,工业,资本品,电气设备,电气部件与设备,成长型
969,*ST科林,002499.SZ,公用事业,公用事业,电力,新能源发电,价值型
970,山西证券,002500.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
971,利源精制,002501.SZ,原材料,原材料,有色金属,铝,价值型
972,鼎龙文化,002502.SZ,可选消费,传媒,传媒,电影与娱乐,价值型
973,搜于特,002503.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
974,ST弘高,002504.SZ,工业,资本品,建筑与工程,建筑装修,价值型
975,鹏都农牧,002505.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,混合型
976,协鑫集成,002506.SZ,工业,资本品,电气设备,新能源设备,成长型
977,涪陵榨菜,002507.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
978,老板电器,002508.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
979,天汽模,002510.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
980,中顺洁柔,002511.SZ,主要消费,家庭与个人用品,家常用品,家常用品,成长型
981,达华智能,002512.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,混合型
982,蓝丰生化,002513.SZ,原材料,原材料,化学制品,化肥与农药,价值型
983,宝馨科技,002514.SZ,工业,资本品,机械制造,通用机械,价值型
984,金字火腿,002515.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
985,旷达科技,002516.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,价值型
986,恺英网络,002517.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,价值型
987,科士达,002518.SZ,工业,资本品,电气设备,新能源设备,混合型
988,银河电子,002519.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
989,日发精机,002520.SZ,工业,资本品,机械制造,通用机械,混合型
990,齐峰新材,002521.SZ,原材料,原材料,纸类与林业产品,纸制品,价值型
991,浙江众成,002522.SZ,原材料,原材料,化学制品,塑料制品,成长型
992,天桥起重,002523.SZ,工业,资本品,机械制造,工程机械,混合型
993,光正眼科,002524.SZ,医药卫生,医疗器械与服务,医疗用品与服务提供商,医疗保健机构,混合型
994,山东矿机,002526.SZ,工业,资本品,机械制造,其他机械设备,成长型
995,新时达,002527.SZ,工业,资本品,机械制造,其他机械设备,价值型
996,英飞拓,002528.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
997,海源复材,002529.SZ,工业,资本品,机械制造,其他机械设备,价值型
998,金财互联,002530.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,价值型
999,天顺风能,002531.SZ,工业,资本品,电气设备,新能源设备,成长型
1000,天山铝业,002532.SZ,工业,资本品,机械制造,通用机械,价值型
1001,金杯电工,002533.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1002,西子洁能,002534.SZ,工业,资本品,环保设备、工程与服务,环保设备,价值型
1003,ST林重,002535.SZ,工业,资本品,机械制造,其他机械设备,价值型
1004,飞龙股份,002536.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
1005,海联金汇,002537.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1006,司尔特,002538.SZ,原材料,原材料,化学制品,化肥与农药,混合型
1007,云图控股,002539.SZ,原材料,原材料,化学制品,化肥与农药,混合型
1008,亚太科技,002540.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1009,鸿路钢构,002541.SZ,工业,资本品,建筑产品,建筑产品,成长型
1010,中化岩土,002542.SZ,工业,资本品,建筑与工程,土木工程,成长型
1011,万和电气,002543.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1012,普天科技,002544.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1013,东方铁塔,002545.SZ,工业,资本品,建筑产品,建筑产品,成长型
1014,新联电子,002546.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1015,春兴精工,002547.SZ,电信业务,通信设备,通信设备,其它通信设备,混合型
1016,金新农,002548.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,混合型
1017,凯美特气,002549.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
1018,千红制药,002550.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
1019,尚荣医疗,002551.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,混合型
1020,宝鼎科技,002552.SZ,工业,资本品,机械制造,船舶制造,成长型
1021,南方精工,002553.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1022,惠博普,002554.SZ,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,价值型
1023,三七互娱,002555.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
1024,辉隆股份,002556.SZ,工业,商业服务与用品,商业服务与用品,工业品贸易商,价值型
1025,洽洽食品,002557.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1026,巨人网络,002558.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
1027,亚威股份,002559.SZ,工业,资本品,机械制造,通用机械,价值型
1028,通达股份,002560.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1029,徐家汇,002561.SZ,可选消费,零售业,多元化零售,百货商店,价值型
1030,兄弟科技,002562.SZ,医药卫生,医药生物,制药,化学药,价值型
1031,森马服饰,002563.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
1032,天沃科技,002564.SZ,工业,资本品,建筑与工程,土木工程,价值型
1033,顺灏股份,002565.SZ,原材料,原材料,纸类与林业产品,纸制品,价值型
1034,益盛药业,002566.SZ,医药卫生,医药生物,制药,中药,混合型
1035,唐人神,002567.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,混合型
1036,百润股份,002568.SZ,主要消费,食品、饮料与烟草,饮料,葡萄酒及其他,成长型
1037,ST步森,002569.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,价值型
1038,贝因美,002570.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
1039,德力股份,002571.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,价值型
1040,索菲亚,002572.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,成长型
1041,清新环境,002573.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
1042,明牌珠宝,002574.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1043,群兴玩具,002575.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,混合型
1044,通达动力,002576.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1045,雷柏科技,002577.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,价值型
1046,闽发铝业,002578.SZ,原材料,原材料,有色金属,铝,成长型
1047,中京电子,002579.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1048,圣阳股份,002580.SZ,工业,资本品,电气设备,新能源设备,混合型
1049,未名医药,002581.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
1050,好想你,002582.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1051,海能达,002583.SZ,电信业务,通信设备,通信设备,通信终端设备,成长型
1052,西陇科学,002584.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1053,双星新材,002585.SZ,原材料,原材料,化学制品,塑料制品,成长型
1054,*ST围海,002586.SZ,工业,资本品,建筑与工程,土木工程,价值型
1055,奥拓电子,002587.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
1056,史丹利,002588.SZ,原材料,原材料,化学制品,化肥与农药,混合型
1057,瑞康医药,002589.SZ,医药卫生,医药生物,制药,药品经销商,混合型
1058,万安科技,002590.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
1059,恒大高新,002591.SZ,原材料,原材料,化学制品,其他化学制品,价值型
1060,ST八菱,002592.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1061,日上集团,002593.SZ,工业,资本品,建筑产品,建筑产品,成长型
1062,比亚迪,002594.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,成长型
1063,豪迈科技,002595.SZ,工业,资本品,机械制造,通用机械,混合型
1064,海南瑞泽,002596.SZ,原材料,原材料,建筑材料,水泥,混合型
1065,金禾实业,002597.SZ,原材料,原材料,化学制品,其他化学制品,价值型
1066,山东章鼓,002598.SZ,工业,资本品,机械制造,通用机械,混合型
1067,盛通股份,002599.SZ,工业,商业服务与用品,商业服务与用品,商业印刷,价值型
1068,领益智造,002600.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1069,龙佰集团,002601.SZ,原材料,原材料,化学制品,涂料涂漆,价值型
1070,世纪华通,002602.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
1071,以岭药业,002603.SZ,医药卫生,医药生物,制药,中药,成长型
1072,姚记科技,002605.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,成长型
1073,大连电瓷,002606.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1074,中公教育,002607.SZ,可选消费,消费者服务,综合消费者服务,教育服务,成长型
1075,江苏国信,002608.SZ,公用事业,公用事业,电力,火电,混合型
1076,捷顺科技,002609.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
1077,爱康科技,002610.SZ,工业,资本品,电气设备,新能源设备,混合型
1078,东方精工,002611.SZ,工业,资本品,机械制造,其他机械设备,价值型
1079,朗姿股份,002612.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
1080,北玻股份,002613.SZ,原材料,原材料,建筑材料,玻璃,混合型
1081,奥佳华,002614.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
1082,哈尔斯,002615.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,价值型
1083,长青集团,002616.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
1084,露笑科技,002617.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1085,丹邦退,002618.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,价值型
1086,*ST艾格,002619.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,价值型
1087,瑞和股份,002620.SZ,工业,资本品,建筑与工程,建筑装修,混合型
1088,美吉姆,002621.SZ,可选消费,消费者服务,综合消费者服务,教育服务,混合型
1089,融钰集团,002622.SZ,工业,资本品,电气设备,电气部件与设备,成长型
1090,亚玛顿,002623.SZ,工业,资本品,电气设备,新能源设备,成长型
1091,完美世界,002624.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
1092,光启技术,002625.SZ,工业,资本品,机械制造,铁路设备,成长型
1093,金达威,002626.SZ,医药卫生,医药生物,制药,化学药,混合型
1094,三峡旅游,002627.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,价值型
1095,成都路桥,002628.SZ,工业,资本品,建筑与工程,土木工程,混合型
1096,仁智股份,002629.SZ,能源,能源,能源开采设备与服务,石油与天然气开采设备与服务,价值型
1097,华西能源,002630.SZ,工业,资本品,电气设备,重型电气设备,混合型
1098,德尔未来,002631.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
1099,道明光学,002632.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1100,申科股份,002633.SZ,工业,资本品,机械制造,通用机械,价值型
1101,棒杰股份,002634.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,成长型
1102,安洁科技,002635.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,价值型
1103,金安国纪,002636.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1104,赞宇科技,002637.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1105,勤上股份,002638.SZ,可选消费,消费者服务,综合消费者服务,教育服务,混合型
1106,雪人股份,002639.SZ,工业,资本品,机械制造,通用机械,成长型
1107,跨境通,002640.SZ,可选消费,零售业,其他零售,其他零售,混合型
1108,公元股份,002641.SZ,原材料,原材料,建筑材料,其他建材,成长型
1109,荣联科技,002642.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
1110,万润股份,002643.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1111,佛慈制药,002644.SZ,医药卫生,医药生物,制药,中药,混合型
1112,华宏科技,002645.SZ,工业,资本品,机械制造,其他机械设备,成长型
1113,天佑德酒,002646.SZ,主要消费,食品、饮料与烟草,饮料,白酒,价值型
1114,仁东控股,002647.SZ,金融地产,其他金融,其他金融服务,特殊金融服务,成长型
1115,卫星化学,002648.SZ,原材料,原材料,化学原料,化学原料,价值型
1116,博彦科技,002649.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
1117,加加食品,002650.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1118,利君股份,002651.SZ,工业,资本品,机械制造,其他机械设备,成长型
1119,扬子新材,002652.SZ,工业,资本品,建筑产品,建筑产品,价值型
1120,海思科,002653.SZ,医药卫生,医药生物,制药,化学药,成长型
1121,万润科技,002654.SZ,可选消费,传媒,传媒,营销与广告,价值型
1122,共达电声,002655.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1123,ST摩登,002656.SZ,可选消费,零售业,其他零售,其他零售,混合型
1124,中科金财,002657.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
1125,雪迪龙,002658.SZ,工业,资本品,环保设备、工程与服务,环保设备,混合型
1126,凯文教育,002659.SZ,可选消费,消费者服务,综合消费者服务,教育服务,成长型
1127,茂硕电源,002660.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,价值型
1128,克明食品,002661.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1129,京威股份,002662.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1130,普邦股份,002663.SZ,工业,资本品,建筑与工程,园林工程,价值型
1131,信质集团,002664.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
1132,首航高科,002665.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1133,德联集团,002666.SZ,原材料,原材料,化学制品,其他化学制品,混合型
1134,鞍重股份,002667.SZ,工业,资本品,机械制造,其他机械设备,混合型
1135,奥马电器,002668.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1136,康达新材,002669.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
1137,国盛金控,002670.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1138,龙泉股份,002671.SZ,工业,资本品,建筑产品,建筑产品,价值型
1139,东江环保,002672.SZ,工业,资本品,环保设备、工程与服务,环保服务,价值型
1140,西部证券,002673.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1141,兴业科技,002674.SZ,可选消费,耐用消费品与服装,纺织服装,鞋类,混合型
1142,东诚药业,002675.SZ,医药卫生,医药生物,制药,化学药,成长型
1143,顺威股份,002676.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1144,浙江美大,002677.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
1145,珠江钢琴,002678.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,混合型
1146,福建金森,002679.SZ,原材料,原材料,纸类与林业产品,林业产品,价值型
1147,奋达科技,002681.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,价值型
1148,龙洲股份,002682.SZ,工业,交通运输,道路运输,公路运输,价值型
1149,广东宏大,002683.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1150,猛狮退,002684.SZ,工业,资本品,电气设备,新能源设备,价值型
1151,华东重机,002685.SZ,工业,资本品,机械制造,工程机械,价值型
1152,亿利达,002686.SZ,工业,资本品,机械制造,通用机械,价值型
1153,乔治白,002687.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,成长型
1154,金河生物,002688.SZ,医药卫生,医药生物,制药,化学药,价值型
1155,远大智能,002689.SZ,工业,资本品,机械制造,其他机械设备,价值型
1156,美亚光电,002690.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
1157,冀凯股份,002691.SZ,工业,资本品,机械制造,其他机械设备,价值型
1158,ST远程,002692.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1159,双成药业,002693.SZ,医药卫生,医药生物,生物科技,生物科技,价值型
1160,顾地科技,002694.SZ,工业,资本品,建筑产品,建筑产品,价值型
1161,煌上煌,002695.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1162,百洋股份,002696.SZ,主要消费,食品、饮料与烟草,农牧渔产品,渔业产品,价值型
1163,红旗连锁,002697.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,大卖场与超市,成长型
1164,博实股份,002698.SZ,工业,资本品,机械制造,其他机械设备,成长型
1165,ST美盛,002699.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
1166,ST浩源,002700.SZ,公用事业,公用事业,燃气,燃气,价值型
1167,奥瑞金,002701.SZ,原材料,原材料,容器与包装,金属与玻璃容器,价值型
1168,海欣食品,002702.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1169,浙江世宝,002703.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
1170,新宝股份,002705.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1171,良信股份,002706.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1172,众信旅游,002707.SZ,可选消费,消费者服务,酒店、餐馆与休闲,旅行社,价值型
1173,光洋股份,002708.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
1174,天赐材料,002709.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1175,思美传媒,002712.SZ,可选消费,传媒,传媒,营销与广告,价值型
1176,东易日盛,002713.SZ,工业,资本品,建筑与工程,建筑装修,价值型
1177,牧原股份,002714.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
1178,登云股份,002715.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1179,金贵银业,002716.SZ,原材料,原材料,有色金属,黄金及其它贵金属,价值型
1180,岭南股份,002717.SZ,工业,资本品,建筑与工程,园林工程,混合型
1181,友邦吊顶,002718.SZ,工业,资本品,建筑产品,建筑产品,价值型
1182,麦趣尔,002719.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1183,金一文化,002721.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1184,物产金轮,002722.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
1185,小崧股份,002723.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
1186,海洋王,002724.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
1187,跃岭股份,002725.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
1188,龙大美食,002726.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
1189,一心堂,002727.SZ,医药卫生,医药生物,制药,药品经销商,成长型
1190,特一药业,002728.SZ,医药卫生,医药生物,制药,化学药,混合型
1191,好利科技,002729.SZ,工业,资本品,电气设备,电气部件与设备,价值型
1192,电光科技,002730.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1193,萃华珠宝,002731.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1194,燕塘乳业,002732.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
1195,雄韬股份,002733.SZ,工业,资本品,电气设备,电气部件与设备,混合型
1196,利民股份,002734.SZ,原材料,原材料,化学制品,化肥与农药,成长型
1197,王子新材,002735.SZ,原材料,原材料,化学制品,塑料制品,成长型
1198,国信证券,002736.SZ,金融地产,资本市场,资本市场,投资银行业与经纪业,成长型
1199,葵花药业,002737.SZ,医药卫生,医药生物,制药,中药,混合型
1200,中矿资源,002738.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
1201,万达电影,002739.SZ,可选消费,传媒,传媒,电影与娱乐,混合型
1202,ST爱迪尔,002740.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,价值型
1203,光华科技,002741.SZ,原材料,原材料,化学制品,其他化学制品,成长型
1204,ST三圣,002742.SZ,原材料,原材料,建筑材料,水泥,混合型
