,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
4028,2021-09-30,002881.SZ,美格智能,3.90674297,7123770.0,10.0
4029,2020-09-30,002882.SZ,金龙羽,0.28433356,1230880.0,1.0
4030,2020-12-31,002882.SZ,金龙羽,0.04479094,193900.0,1.0
4031,2021-06-30,002882.SZ,金龙羽,0.0009702,4200.0,3.0
4032,2020-12-31,002883.SZ,中设股份,0.00356223,4600.0,1.0
4033,2021-06-30,002883.SZ,中设股份,0.00131648,1700.0,3.0
4034,2020-09-30,002884.SZ,凌霄泵业,7.6199169,19237015.0,11.0
4035,2020-12-31,002884.SZ,凌霄泵业,13.00169508,33008331.0,55.0
4036,2021-03-31,002884.SZ,凌霄泵业,9.0697556,23026501.0,13.0
4037,2021-06-30,002884.SZ,凌霄泵业,14.8551168,52824460.0,55.0
4038,2021-09-30,002884.SZ,凌霄泵业,11.18605328,39777353.0,14.0
4039,2020-12-31,002885.SZ,京泉华,0.01263889,22750.0,2.0
4040,2020-09-30,002886.SZ,沃特股份,0.3809634,449553.0,2.0
4041,2020-12-31,002886.SZ,沃特股份,0.00101692,1332381.0,2.0
4042,2021-03-31,002886.SZ,沃特股份,1.12807886,1331181.0,1.0
4043,2021-06-30,002886.SZ,沃特股份,1.00545467,2269958.0,3.0
4044,2021-09-30,002886.SZ,沃特股份,2.5092826,5665065.0,5.0
4045,2020-09-30,002887.SZ,绿茵生态,0.72504327,2262135.0,2.0
4046,2020-12-31,002887.SZ,绿茵生态,1.90165383,5933160.0,20.0
4047,2021-03-31,002887.SZ,绿茵生态,0.55454647,1730185.0,1.0
4048,2021-06-30,002887.SZ,绿茵生态,0.05622275,175415.0,3.0
4049,2020-12-31,002888.SZ,惠威科技,0.00665724,8300.0,4.0
4050,2021-06-30,002888.SZ,惠威科技,0.04889993,73160.0,4.0
4051,2020-09-30,002889.SZ,东方嘉盛,0.19717392,272300.0,1.0
4052,2020-12-31,002889.SZ,东方嘉盛,0.00028964,400.0,1.0
4053,2021-06-30,002889.SZ,东方嘉盛,1.7492216,2415700.0,15.0
4054,2021-09-30,002889.SZ,东方嘉盛,0.26994652,372800.0,1.0
4055,2020-12-31,002890.SZ,弘宇股份,0.46077697,307200.0,6.0
4056,2020-09-30,002891.SZ,中宠股份,5.14098234,9187029.0,11.0
4057,2020-12-31,002891.SZ,中宠股份,6.11932268,12535340.0,67.0
4058,2021-03-31,002891.SZ,中宠股份,1.98743079,3551575.0,8.0
4059,2021-06-30,002891.SZ,中宠股份,5.46513232,16073648.0,62.0
4060,2021-09-30,002891.SZ,中宠股份,2.13937143,6292163.0,7.0
4061,2020-12-31,002892.SZ,科力尔,0.00253307,3600.0,1.0
4062,2020-12-31,002893.SZ,华通热力,0.00407445,8263.0,2.0
4063,2021-06-30,002893.SZ,华通热力,0.11240779,227963.0,2.0
4064,2020-09-30,002895.SZ,川恒股份,0.20500238,820030.0,5.0
4065,2020-12-31,002895.SZ,川恒股份,0.07538,13884398.0,7.0
4066,2021-06-30,002895.SZ,川恒股份,4.45626674,21560310.0,40.0
4067,2021-09-30,002895.SZ,川恒股份,2.72901511,13203521.0,19.0
4068,2020-12-31,002896.SZ,中大力德,0.33075,264600.0,12.0
4069,2021-06-30,002896.SZ,中大力德,0.72613365,755179.0,6.0
4070,2021-09-30,002896.SZ,中大力德,2.67010481,2776909.0,2.0
4071,2020-09-30,002897.SZ,意华股份,1.87815224,3205480.0,12.0
4072,2020-12-31,002897.SZ,意华股份,0.73820718,1259913.0,22.0
4073,2021-03-31,002897.SZ,意华股份,0.36655105,625600.0,1.0
4074,2021-06-30,002897.SZ,意华股份,0.16394019,279800.0,3.0
4075,2021-09-30,002897.SZ,意华股份,11.33427217,19344429.0,14.0
4076,2021-06-30,002898.SZ,赛隆药业,0.04539773,79900.0,3.0
4077,2020-12-31,002899.SZ,英派斯,0.10042333,120508.0,3.0
4078,2021-06-30,002899.SZ,英派斯,0.23392333,280708.0,8.0
4079,2020-12-31,002900.SZ,哈三联,5.855e-05,100.0,1.0
4080,2021-06-30,002900.SZ,哈三联,0.0611828,104500.0,8.0
4081,2020-09-30,002901.SZ,大博医疗,1.46377894,5864498.0,11.0
4082,2020-12-31,002901.SZ,大博医疗,1.34534943,5390021.0,130.0
4083,2021-03-31,002901.SZ,大博医疗,0.16368771,655800.0,2.0
4084,2021-06-30,002901.SZ,大博医疗,1.17931237,4730632.0,148.0
4085,2021-09-30,002901.SZ,大博医疗,0.26680983,1070267.0,4.0
4086,2020-09-30,002902.SZ,铭普光磁,0.91757571,1926909.0,1.0
4087,2020-12-31,002902.SZ,铭普光磁,0.49831001,1046451.0,5.0
4088,2021-06-30,002902.SZ,铭普光磁,0.27021429,567450.0,2.0
4089,2021-09-30,002902.SZ,铭普光磁,0.2582381,542300.0,1.0
4090,2020-12-31,002903.SZ,宇环数控,0.49296668,739450.0,5.0
4091,2021-06-30,002903.SZ,宇环数控,0.01006667,15100.0,2.0
4092,2020-09-30,002905.SZ,金逸影视,12.41249999,11677680.0,3.0
4093,2020-12-31,002905.SZ,金逸影视,4.11321136,15478837.0,5.0
4094,2021-03-31,002905.SZ,金逸影视,0.72809843,2739980.0,1.0
