,日期,股票代码,股票名称,基金持股比例 [单位]% [比例类型]占流通股比例,基金持股数量 [单位]股,持股基金家数 [股本类型]流通股本
3524,2020-03-31,002601.SZ,龙佰集团,1.05377681,21412965.0,23.0
3525,2019-03-31,002602.SZ,世纪华通,0.01877322,376660.0,2.0
3526,2019-06-30,002602.SZ,世纪华通,0.95184474,30253923.0,109.0
3527,2019-09-30,002602.SZ,世纪华通,0.02215683,704244.0,4.0
3528,2019-12-31,002602.SZ,世纪华通,5.78182143,185172390.0,283.0
3529,2020-03-31,002602.SZ,世纪华通,2.10981858,67059560.0,47.0
3530,2019-03-31,002603.SZ,以岭药业,0.05775962,653600.0,2.0
3531,2019-06-30,002603.SZ,以岭药业,1.70909083,19339839.0,83.0
3532,2019-09-30,002603.SZ,以岭药业,0.57773149,6537531.0,1.0
3533,2019-12-31,002603.SZ,以岭药业,1.48251358,16737538.0,95.0
3534,2020-03-31,002603.SZ,以岭药业,0.3349472,3781545.0,9.0
3535,2019-03-31,002605.SZ,姚记科技,0.03811348,137600.0,1.0
3536,2019-06-30,002605.SZ,姚记科技,1.59539912,5759823.0,55.0
3537,2019-09-30,002605.SZ,姚记科技,0.31130628,1123900.0,4.0
3538,2019-12-31,002605.SZ,姚记科技,3.79495426,14173617.0,56.0
3539,2020-03-31,002605.SZ,姚记科技,1.1016064,4114344.0,17.0
3540,2019-06-30,002606.SZ,大连电瓷,0.00109964,4481.0,2.0
3541,2019-12-31,002606.SZ,大连电瓷,0.36137876,1472604.0,9.0
3542,2019-03-31,002607.SZ,中公教育,19.32385846,158520560.0,38.0
3543,2019-06-30,002607.SZ,中公教育,28.8787425,236902710.0,217.0
3544,2019-09-30,002607.SZ,中公教育,16.84546417,138189400.0,55.0
3545,2019-12-31,002607.SZ,中公教育,20.47533569,167966542.0,297.0
3546,2020-03-31,002607.SZ,中公教育,13.80763244,117576983.0,47.0
3547,2019-03-31,002608.SZ,江苏国信,0.07570246,408000.0,1.0
3548,2019-06-30,002608.SZ,江苏国信,0.58463747,6219879.0,39.0
3549,2019-12-31,002608.SZ,江苏国信,0.25092872,3562474.0,30.0
3550,2019-06-30,002609.SZ,捷顺科技,0.92097406,5831145.0,26.0
3551,2019-09-30,002609.SZ,捷顺科技,2.41956509,15319470.0,8.0
3552,2019-12-31,002609.SZ,捷顺科技,3.13737929,19864309.0,48.0
3553,2020-03-31,002609.SZ,捷顺科技,3.65365667,23090370.0,9.0
3554,2019-03-31,002610.SZ,爱康科技,0.05026039,2248421.0,2.0
3555,2019-06-30,002610.SZ,爱康科技,0.35417873,15864073.0,24.0
3556,2019-09-30,002610.SZ,爱康科技,0.19389936,8684976.0,1.0
3557,2019-12-31,002610.SZ,爱康科技,0.40409928,18100073.0,25.0
3558,2020-03-31,002610.SZ,爱康科技,0.2297167,10289276.0,1.0
3559,2019-03-31,002611.SZ,东方精工,0.02822522,374400.0,1.0
3560,2019-06-30,002611.SZ,东方精工,0.7024371,9317640.0,26.0
3561,2019-09-30,002611.SZ,东方精工,0.02788598,369900.0,1.0
3562,2019-12-31,002611.SZ,东方精工,0.5347324,7093082.0,39.0
3563,2020-03-31,002611.SZ,东方精工,0.005247,69600.0,1.0
3564,2019-03-31,002612.SZ,朗姿股份,0.307825,1231300.0,1.0
3565,2019-06-30,002612.SZ,朗姿股份,0.67336575,2693463.0,6.0
3566,2019-09-30,002612.SZ,朗姿股份,0.50960475,2038419.0,1.0
3567,2019-12-31,002612.SZ,朗姿股份,0.63994075,2559763.0,8.0
3568,2020-03-31,002612.SZ,朗姿股份,0.49535475,1981419.0,1.0
3569,2019-06-30,002613.SZ,北玻股份,0.03433956,321820.0,2.0
3570,2019-12-31,002613.SZ,北玻股份,0.01470598,137820.0,1.0
3571,2019-03-31,002614.SZ,奥佳华,11.30714654,63028692.0,17.0
3572,2019-06-30,002614.SZ,奥佳华,12.01658447,66938564.0,63.0
3573,2019-09-30,002614.SZ,奥佳华,4.85228027,27029700.0,9.0
3574,2019-12-31,002614.SZ,奥佳华,3.69834561,20724604.0,45.0
3575,2019-03-31,002615.SZ,哈尔斯,0.0464425,190600.0,2.0
3576,2019-06-30,002615.SZ,哈尔斯,0.29967177,1229853.0,11.0
3577,2019-12-31,002615.SZ,哈尔斯,0.45776681,1878675.0,11.0
3578,2019-03-31,002616.SZ,长青集团,1.9946004,14328155.0,4.0
3579,2019-06-30,002616.SZ,长青集团,2.19656642,16295956.0,38.0
3580,2019-09-30,002616.SZ,长青集团,1.75361486,13009773.0,4.0
3581,2019-12-31,002616.SZ,长青集团,3.27240043,24277387.0,33.0
3582,2020-03-31,002616.SZ,长青集团,3.02500389,22441994.0,3.0
3583,2019-06-30,002617.SZ,露笑科技,0.01210902,133470.0,8.0
3584,2019-12-31,002617.SZ,露笑科技,0.0197843,218070.0,10.0
3585,2019-06-30,002618.SZ,丹邦退,0.12006752,657874.0,20.0
3586,2019-12-31,002618.SZ,丹邦退,0.15421485,844974.0,21.0
3587,2019-06-30,002619.SZ,*ST艾格,0.14167522,2040177.0,17.0
3588,2019-12-31,002619.SZ,*ST艾格,0.04254888,612720.0,11.0
3589,2019-06-30,002620.SZ,瑞和股份,0.35541793,1288390.0,13.0
3590,2019-12-31,002620.SZ,瑞和股份,0.25274648,916206.0,7.0
3591,2019-03-31,002621.SZ,美吉姆,1.27736948,4311122.0,3.0
3592,2019-06-30,002621.SZ,美吉姆,1.64757354,9453289.0,25.0
3593,2019-09-30,002621.SZ,美吉姆,1.3303812,7690244.0,2.0
3594,2019-12-31,002621.SZ,美吉姆,2.08834973,12071667.0,45.0
3595,2020-03-31,002621.SZ,美吉姆,1.33750362,7731415.0,3.0
3596,2019-06-30,002622.SZ,融钰集团,0.04192309,352154.0,8.0
