,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
华映科技,000536.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,价值型
广宇发展,000537.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
云南白药,000538.SZ,医药卫生,医药生物,制药,中药,混合型
粤电力A,000539.SZ,公用事业,公用事业,电力,火电,价值型
中天金融,000540.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
佛山照明,000541.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
皖能电力,000543.SZ,公用事业,公用事业,电力,火电,价值型
中原环保,000544.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
金浦钛业,000545.SZ,原材料,原材料,化学制品,涂料涂漆,混合型
金圆股份,000546.SZ,原材料,原材料,建筑材料,水泥,成长型
航天发展,000547.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
湖南投资,000548.SZ,工业,交通运输,交通基本设施,高速公路,价值型
江铃汽车,000550.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,价值型
创元科技,000551.SZ,工业,资本品,环保设备、工程与服务,环保工程,混合型
靖远煤电,000552.SZ,能源,能源,煤炭,煤炭,价值型
安道麦A,000553.SZ,原材料,原材料,化学制品,化肥与农药,价值型
泰山石油,000554.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,混合型
神州信息,000555.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
西部创业,000557.SZ,工业,交通运输,道路运输,铁路运输,成长型
莱茵体育,000558.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
万向钱潮,000559.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
我爱我家,000560.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,混合型
烽火电子,000561.SZ,电信业务,通信设备,通信设备,通信终端设备,混合型
陕国投A,000563.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,成长型
*ST大集,000564.SZ,可选消费,零售业,多元化零售,百货商店,混合型
渝三峡A,000565.SZ,原材料,原材料,化学制品,涂料涂漆,价值型
海南海药,000566.SZ,医药卫生,医药生物,制药,化学药,价值型
海德股份,000567.SZ,金融地产,资本市场,资本市场,资产管理与托管银行,成长型
