,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
凯普生物,300639.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
德艺文创,300640.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,成长型
正丹股份,300641.SZ,原材料,原材料,化学制品,其他化学制品,价值型
透景生命,300642.SZ,医药卫生,医药生物,生物科技,生物科技,混合型
万通智控,300643.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
南京聚隆,300644.SZ,原材料,原材料,化学制品,塑料制品,混合型
正元智慧,300645.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
超频三,300647.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
星云股份,300648.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
杭州园林,300649.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
太龙照明,300650.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
金陵体育,300651.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,成长型
雷迪克,300652.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
正海生物,300653.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
世纪天鸿,300654.SZ,可选消费,传媒,传媒,出版,混合型
晶瑞电材,300655.SZ,原材料,原材料,化学制品,其他化学制品,成长型
民德电子,300656.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
弘信电子,300657.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
延江股份,300658.SZ,主要消费,家庭与个人用品,家常用品,家常用品,成长型
中孚信息,300659.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
江苏雷利,300660.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,价值型
圣邦股份,300661.SZ,信息技术,半导体,半导体,半导体,成长型
科锐国际,300662.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
科蓝软件,300663.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
鹏鹞环保,300664.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
飞鹿股份,300665.SZ,原材料,原材料,化学制品,涂料涂漆,成长型
江丰电子,300666.SZ,信息技术,半导体,半导体,半导体,成长型
必创科技,300667.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
杰恩设计,300668.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
沪宁股份,300669.SZ,工业,资本品,机械制造,其他机械设备,成长型
大烨智能,300670.SZ,工业,资本品,电气设备,电气部件与设备,成长型
富满电子,300671.SZ,信息技术,半导体,半导体,半导体,混合型
国科微,300672.SZ,信息技术,半导体,半导体,半导体,成长型
佩蒂股份,300673.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
宇信科技,300674.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
建科院,300675.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
华大基因,300676.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
英科医疗,300677.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,混合型
中科信息,300678.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
电连技术,300679.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
隆盛科技,300680.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
英搏尔,300681.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
朗新科技,300682.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
海特生物,300683.SZ,医药卫生,医药生物,生物科技,生物科技,价值型
中石科技,300684.SZ,原材料,原材料,化学制品,其他化学制品,成长型
艾德生物,300685.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
智动力,300686.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
赛意信息,300687.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
创业黑马,300688.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,价值型
澄天伟业,300689.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
双一科技,300690.SZ,工业,资本品,电气设备,新能源设备,成长型
联合光电,300691.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
中环环保,300692.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
盛弘股份,300693.SZ,工业,资本品,电气设备,新能源设备,成长型
蠡湖股份,300694.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
兆丰股份,300695.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
爱乐达,300696.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
电工合金,300697.SZ,工业,资本品,电气设备,电气部件与设备,成长型
万马科技,300698.SZ,电信业务,通信设备,通信设备,通信传输设备,价值型
光威复材,300699.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
岱勒新材,300700.SZ,原材料,原材料,非金属采矿及制品,非金属采矿及制品,价值型
森霸传感,300701.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
天宇股份,300702.SZ,医药卫生,医药生物,制药,化学药,成长型
创源股份,300703.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,价值型
九典制药,300705.SZ,医药卫生,医药生物,制药,化学药,混合型
阿石创,300706.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
威唐工业,300707.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
聚灿光电,300708.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
精研科技,300709.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
万隆光电,300710.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
广哈通信,300711.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
永福股份,300712.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,混合型
英可瑞,300713.SZ,工业,资本品,电气设备,电气部件与设备,混合型
凯伦股份,300715.SZ,原材料,原材料,建筑材料,其他建材,混合型
国立科技,300716.SZ,原材料,原材料,化学制品,塑料制品,价值型
华信新材,300717.SZ,原材料,原材料,化学制品,塑料制品,混合型
长盛轴承,300718.SZ,工业,资本品,机械制造,通用机械,混合型
安达维尔,300719.SZ,工业,资本品,航空航天与国防,航空航天与国防,混合型
海川智能,300720.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
怡达股份,300721.SZ,原材料,原材料,化学原料,化学原料,价值型
新余国科,300722.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
一品红,300723.SZ,医药卫生,医药生物,制药,化学药,混合型
捷佳伟创,300724.SZ,工业,资本品,电气设备,新能源设备,成长型
药石科技,300725.SZ,医药卫生,医药生物,制药,化学药,成长型
宏达电子,300726.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
润禾材料,300727.SZ,原材料,原材料,化学制品,其他化学制品,成长型
乐歌股份,300729.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,成长型
科创信息,300730.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,混合型
科创新源,300731.SZ,电信业务,通信设备,通信设备,通信传输设备,混合型
设研院,300732.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
西菱动力,300733.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
光弘科技,300735.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,混合型
百邦科技,300736.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,价值型
科顺股份,300737.SZ,原材料,原材料,建筑材料,其他建材,混合型
奥飞数据,300738.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
明阳电路,300739.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
水羊股份,300740.SZ,主要消费,家庭与个人用品,个人用品,个人用品,成长型
华宝股份,300741.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,价值型
越博动力,300742.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
天地数码,300743.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,混合型
欣锐科技,300745.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
汉嘉设计,300746.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
锐科激光,300747.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
金力永磁,300748.SZ,原材料,原材料,有色金属,稀有金属,成长型
顶固集创,300749.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家庭装饰品,混合型
宁德时代,300750.SZ,工业,资本品,电气设备,新能源设备,成长型
迈为股份,300751.SZ,工业,资本品,电气设备,新能源设备,成长型
隆利科技,300752.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
爱朋医疗,300753.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
华致酒行,300755.SZ,可选消费,零售业,其他零售,其他零售,混合型
金马游乐,300756.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,价值型
罗博特科,300757.SZ,工业,资本品,电气设备,新能源设备,混合型
七彩化学,300758.SZ,原材料,原材料,化学制品,印染化学品,成长型
康龙化成,300759.SZ,医药卫生,医药生物,制药与生物科技服务,制药与生物科技服务,成长型
迈瑞医疗,300760.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
立华股份,300761.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,价值型
上海瀚讯,300762.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
锦浪科技,300763.SZ,工业,资本品,电气设备,新能源设备,成长型
新诺威,300765.SZ,主要消费,食品、饮料与烟草,饮料,软饮料,成长型
每日互动,300766.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
震安科技,300767.SZ,工业,资本品,建筑产品,建筑产品,成长型
迪普科技,300768.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
德方纳米,300769.SZ,工业,资本品,电气设备,新能源设备,成长型
新媒股份,300770.SZ,可选消费,传媒,传媒,广播与有线电视,成长型
智莱科技,300771.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
运达股份,300772.SZ,工业,资本品,电气设备,新能源设备,成长型
拉卡拉,300773.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
倍杰特,300774.SZ,工业,资本品,环保设备、工程与服务,环保工程,成长型
三角防务,300775.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
帝尔激光,300776.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
中简科技,300777.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
新城市,300778.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
惠城环保,300779.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
德恩精工,300780.SZ,工业,资本品,机械制造,通用机械,成长型
因赛集团,300781.SZ,可选消费,传媒,传媒,营销与广告,混合型
卓胜微,300782.SZ,信息技术,半导体,半导体,半导体,成长型
三只松鼠,300783.SZ,可选消费,零售业,互联网零售,互联网零售,成长型
值得买,300785.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
国林科技,300786.SZ,工业,资本品,环保设备、工程与服务,环保设备,成长型
海能实业,300787.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
中信出版,300788.SZ,可选消费,传媒,传媒,出版,混合型
唐源电气,300789.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
宇瞳光学,300790.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
仙乐健康,300791.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
壹网壹创,300792.SZ,可选消费,传媒,传媒,营销与广告,成长型
佳禾智能,300793.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
*ST米奥,300795.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,价值型
贝斯美,300796.SZ,原材料,原材料,化学制品,化肥与农药,成长型
钢研纳克,300797.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
锦鸡股份,300798.SZ,原材料,原材料,化学制品,印染化学品,混合型
左江科技,300799.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
力合科技,300800.SZ,工业,资本品,环保设备、工程与服务,环保设备,成长型
泰和科技,300801.SZ,原材料,原材料,化学制品,其他化学制品,成长型
矩子科技,300802.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
指南针,300803.SZ,金融地产,资本市场,资本市场,金融交易与数据,成长型
电声股份,300805.SZ,可选消费,传媒,传媒,营销与广告,成长型
斯迪克,300806.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
天迈科技,300807.SZ,电信业务,通信设备,通信设备,通信终端设备,混合型
久量股份,300808.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,混合型
华辰装备,300809.SZ,工业,资本品,机械制造,通用机械,成长型
中科海讯,300810.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,价值型
铂科新材,300811.SZ,工业,资本品,电气设备,电气部件与设备,成长型
易天股份,300812.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
泰林生物,300813.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
中富电路,300814.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
玉禾田,300815.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
艾可蓝,300816.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
双飞股份,300817.SZ,工业,资本品,机械制造,通用机械,混合型
耐普矿机,300818.SZ,工业,资本品,机械制造,其他机械设备,成长型
聚杰微纤,300819.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,混合型
英杰电气,300820.SZ,工业,资本品,电气设备,电气部件与设备,成长型
东岳硅材,300821.SZ,原材料,原材料,化学制品,橡胶制品,混合型
贝仕达克,300822.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
建科机械,300823.SZ,工业,资本品,机械制造,工程机械,混合型
北鼎股份,300824.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
阿尔特,300825.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
测绘股份,300826.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
上能电气,300827.SZ,工业,资本品,电气设备,电气部件与设备,成长型
锐新科技,300828.SZ,工业,资本品,机械制造,通用机械,成长型
金丹科技,300829.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
金现代,300830.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
派瑞股份,300831.SZ,工业,资本品,电气设备,电气部件与设备,混合型
新产业,300832.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,混合型
浩洋股份,300833.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,混合型
龙磁科技,300835.SZ,工业,资本品,电气设备,电气部件与设备,混合型
佰奥智能,300836.SZ,工业,资本品,机械制造,通用机械,成长型
浙矿股份,300837.SZ,工业,资本品,机械制造,其他机械设备,成长型
浙江力诺,300838.SZ,工业,资本品,机械制造,通用机械,成长型
博汇股份,300839.SZ,能源,能源,石油与天然气,石油与天然气的炼制和营销,成长型
酷特智能,300840.SZ,可选消费,耐用消费品与服装,纺织服装,服装服饰,混合型
康华生物,300841.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
帝科股份,300842.SZ,工业,资本品,电气设备,新能源设备,成长型
胜蓝股份,300843.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
山水比德,300844.SZ,工业,资本品,建筑与工程,园林工程,成长型
捷安高科,300845.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
首都在线,300846.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
中船汉光,300847.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
美瑞新材,300848.SZ,原材料,原材料,化学制品,橡胶制品,成长型
锦盛新材,300849.SZ,主要消费,家庭与个人用品,个人用品,个人用品,混合型
新强联,300850.SZ,工业,资本品,机械制造,通用机械,成长型
交大思诺,300851.SZ,信息技术,计算机运用,信息技术服务,系统集成及IT咨询,成长型
四会富仕,300852.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
申昊科技,300853.SZ,工业,资本品,电气设备,电气部件与设备,成长型
图南股份,300855.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
科思股份,300856.SZ,主要消费,家庭与个人用品,个人用品,个人用品,成长型
协创数据,300857.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
科拓生物,300858.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
*ST西域,300859.SZ,可选消费,消费者服务,酒店、餐馆与休闲,景点,价值型
锋尚文化,300860.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
美畅股份,300861.SZ,工业,资本品,机械制造,通用机械,成长型
蓝盾光电,300862.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
卡倍亿,300863.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
南大环境,300864.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
大宏立,300865.SZ,工业,资本品,机械制造,其他机械设备,成长型
安克创新,300866.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
圣元环保,300867.SZ,公用事业,公用事业,电力,新能源发电,成长型
杰美特,300868.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,成长型
康泰医学,300869.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
欧陆通,300870.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,成长型
回盛生物,300871.SZ,医药卫生,医药生物,制药,化学药,成长型
天阳科技,300872.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
海晨股份,300873.SZ,工业,交通运输,航空货运与物流,物流,成长型
捷强装备,300875.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
蒙泰高新,300876.SZ,原材料,原材料,化学制品,纤维及树脂,混合型
金春股份,300877.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
维康药业,300878.SZ,医药卫生,医药生物,制药,中药,成长型
大叶股份,300879.SZ,工业,资本品,机械制造,其他机械设备,成长型
迦南智能,300880.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
盛德鑫泰,300881.SZ,原材料,原材料,钢铁,钢铁,成长型
万胜智能,300882.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
龙利得,300883.SZ,原材料,原材料,容器与包装,纸材料包装,混合型
狄耐克,300884.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
海昌新材,300885.SZ,工业,资本品,机械制造,通用机械,成长型
华业香料,300886.SZ,原材料,原材料,化学制品,其他化学制品,混合型
谱尼测试,300887.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
稳健医疗,300888.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
爱克股份,300889.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
翔丰华,300890.SZ,原材料,原材料,非金属采矿及制品,非金属采矿及制品,成长型
惠云钛业,300891.SZ,原材料,原材料,化学制品,其他化学制品,成长型
品渥食品,300892.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,成长型
松原股份,300893.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
火星人,300894.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用电器,成长型
铜牛信息,300895.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,成长型
爱美客,300896.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
山科智能,300897.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
熊猫乳品,300898.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
上海凯鑫,300899.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
广联航空,300900.SZ,工业,资本品,航空航天与国防,航空航天与国防,成长型
中胤时尚,300901.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
国安达,300902.SZ,工业,资本品,机械制造,其他机械设备,成长型
科翔股份,300903.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
宝丽迪,300905.SZ,原材料,原材料,化学制品,纤维及树脂,成长型
日月明,300906.SZ,工业,资本品,机械制造,铁路设备,成长型
康平科技,300907.SZ,工业,资本品,机械制造,通用机械,成长型
仲景食品,300908.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,成长型
汇创达,300909.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,成长型
瑞丰新材,300910.SZ,原材料,原材料,化学制品,其他化学制品,成长型
亿田智能,300911.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,家用器具与特殊消费品,成长型
凯龙高科,300912.SZ,工业,资本品,环保设备、工程与服务,环保设备,成长型
兆龙互连,300913.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
海融科技,300915.SZ,主要消费,食品、饮料与烟草,包装食品与肉类,包装食品与肉类,混合型
朗特智能,300916.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
特发服务,300917.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
南山智尚,300918.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
中伟股份,300919.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
润阳科技,300920.SZ,原材料,原材料,化学制品,塑料制品,成长型
南凌科技,300921.SZ,电信业务,电信服务,电信增值服务,电信增值服务,成长型
天秦装备,300922.SZ,原材料,原材料,化学制品,塑料制品,成长型
研奥股份,300923.SZ,工业,资本品,机械制造,铁路设备,混合型
法本信息,300925.SZ,信息技术,计算机运用,信息技术服务,IT外包服务,成长型
博俊科技,300926.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
江天化学,300927.SZ,原材料,原材料,化学原料,化学原料,混合型
华安鑫创,300928.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,成长型
华骐环保,300929.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
屹通新材,300930.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
通用电梯,300931.SZ,工业,资本品,机械制造,其他机械设备,成长型
三友联众,300932.SZ,工业,资本品,电气设备,电气部件与设备,成长型
中辰股份,300933.SZ,工业,资本品,电气设备,电气部件与设备,成长型
盈建科,300935.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
中英科技,300936.SZ,电信业务,通信设备,通信设备,通信传输设备,成长型
药易购,300937.SZ,可选消费,零售业,其他零售,其他零售,成长型
信测标准,300938.SZ,工业,商业服务与用品,商业服务与用品,市场服务,成长型
秋田微,300939.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
南极光,300940.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
创识科技,300941.SZ,信息技术,计算机运用,软件开发,软件开发,成长型
易瑞生物,300942.SZ,医药卫生,医药生物,生物科技,生物科技,成长型
春晖智控,300943.SZ,工业,资本品,机械制造,通用机械,混合型
曼卡龙,300945.SZ,可选消费,耐用消费品与服装,珠宝与奢侈品,珠宝与奢侈品,混合型
恒而达,300946.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
德必集团,300947.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
冠中生态,300948.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
奥雅设计,300949.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
德固特,300950.SZ,工业,资本品,机械制造,其他机械设备,成长型
博硕科技,300951.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
恒辉安防,300952.SZ,可选消费,耐用消费品与服装,纺织服装,纺织品,成长型
震裕科技,300953.SZ,工业,资本品,机械制造,其他机械设备,成长型
嘉亨家化,300955.SZ,原材料,原材料,化学制品,塑料制品,成长型
英力股份,300956.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
贝泰妮,300957.SZ,原材料,原材料,化学制品,其他化学制品,成长型
建工修复,300958.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
线上线下,300959.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
通业科技,300960.SZ,工业,交通运输,道路运输,公共交通,混合型
深水海纳,300961.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
中金辐照,300962.SZ,工业,资本品,环保设备、工程与服务,环保服务,混合型
中洲特材,300963.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
本川智能,300964.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
恒宇信通,300965.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
共同药业,300966.SZ,医药卫生,医药生物,制药,化学药,成长型
晓鸣股份,300967.SZ,主要消费,食品、饮料与烟草,农牧渔产品,畜牧产品,成长型
格林精密,300968.SZ,工业,资本品,机械制造,其他机械设备,成长型
恒帅股份,300969.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,混合型
华绿生物,300970.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
博亚精工,300971.SZ,工业,资本品,机械制造,通用机械,成长型
万辰生物,300972.SZ,主要消费,食品、饮料与烟草,农牧渔产品,其他农产品,成长型
立高食品,300973.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,成长型
商络电子,300975.SZ,工业,商业服务与用品,商业服务与用品,市场服务,成长型
达瑞电子,300976.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
深圳瑞捷,300977.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
东箭科技,300978.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车,成长型
华利集团,300979.SZ,可选消费,耐用消费品与服装,纺织服装,鞋类,混合型
祥源新材,300980.SZ,原材料,原材料,化学制品,橡胶制品,成长型
中红医疗,300981.SZ,医药卫生,医疗器械与服务,医疗器械,医疗器械,成长型
苏文电能,300982.SZ,工业,资本品,机械制造,工程机械,成长型
尤安设计,300983.SZ,工业,资本品,建筑与工程,建筑装修,成长型
金沃股份,300984.SZ,工业,资本品,机械制造,通用机械,成长型
致远新能,300985.SZ,原材料,原材料,容器与包装,金属与玻璃容器,成长型
志特新材,300986.SZ,原材料,原材料,有色金属,铝,成长型
川网传媒,300987.SZ,信息技术,计算机运用,互联网服务,互联网信息服务,混合型
津荣天宇,300988.SZ,原材料,原材料,有色金属,其它有色金属及合金,成长型
蕾奥规划,300989.SZ,工业,商业服务与用品,商业服务与用品,其他商业服务,成长型
同飞股份,300990.SZ,工业,资本品,机械制造,通用机械,成长型
创益通,300991.SZ,信息技术,计算机及电子设备,电子设备,电子设备及仪表制造商,成长型
泰福泵业,300992.SZ,工业,资本品,机械制造,其他机械设备,成长型
